,,,10442,,,,
n_iteracao,id_modelo,cod_produto,nome,Fornecedor,Comprador,Responsável,Subcategoria
1,836,SHOP890,MANTEIGA  COM  SAL AVIAÇÃO LATA 200G,AVIAÇÃO,Geovanna Bezerra,Pietro,Passáveis Refrigerados
2,920,SHOP974,OVO    BRANCO MANTIQUEIRA C/ 12UN,MANTIQUEIRA ALIMENTOS LTDA,João Reis,Pietro,Ovos
3,921,SHOP975,OVO  CAIPIRA HAPPY EGGS C/ 10UN,MANTIQUEIRA ALIMENTOS LTDA,João Reis,Pietro,Ovos
4,921,SHOP975,OVO CAIPIRA C/10 - PROMOCIONAL,MANTIQUEIRA ALIMENTOS LTDA,João Reis,Pietro,Ovos
5,929,SHOP983,PÃO DE FORMA WICKBOLD TRADICIONAL 450G,WICKBOLD,João Reis,Pietro,Padaria
6,930,SHOP984,PÃO DE FORMA WICKBOLD INTEGRAL 450G,WICKBOLD,João Reis,Pietro,Padaria
7,973,SHOP1027,QUEIJO PARMESÃO RALADO VIGOR  100G,VIGOR,Geovanna Bezerra,Pietro,
8,976,SHOP1030,QUEIJO RALADO FAIXA AZUL PARMESÃO C/ 2UN DE 50G,VIGOR,Geovanna Bezerra,Pietro,
9,1338,CT1SB2,PÃO DE FORMA INTEGRAL 52% 12 GRÃOS PULLMAN 450G,BIMBO,João Reis,Pietro,Padaria
10,1348,CT1SB9,PÃO    DE FORMA INTEGRAL 12 GRÃOS PULLMAN SEM AÇUCAR 350G,BIMBO,João Reis,Pietro,Padaria
11,1658,CT1SB1SB17292,BISNAGUINHA PANCO 300G,PANCO,João Reis,Pietro,Padaria
12,1664,CT1SB1684,PÃO  DE FORMA 53% INTEGRAL COM SEMENTE DE LINHAÇA E GIRASSOL NUTRELLA 450G,BIMBO,João Reis,Pietro,Padaria
13,1665,CT1SB11111,PÃO DE FORMA PANCO PREMIUM 500G,PANCO,João Reis,Pietro,Padaria
14,1812,CT1SB1432,QUEIJO RALADO FAIXA AZUL PARMESÃO 50G,VIGOR,Geovanna Bezerra,Pietro,"Queijos, Frios e Embutidos"
