id_modelo,cod_produto,nome,preco_loja_programada,preco_loja_fresh,
3,SHOP01,ABSORVENTE COM ABAS ALWAYS SUPER PROTEÇÃO SECA C/ 16UN,"10,99",,Jefferson Moraes
6,SHOP04,ABSORVENTE COM ABAS ALWAYS NOITES TRANQUILAS SECA C/ 8UN,"12,99",,Jefferson Moraes
7,SHOP05,ABSORVENTE COM ABAS ALWAYS NOITES TRANQUILAS SUAVE C/ 8UN,"12,99",,Jefferson Moraes
11,SHOP09,ABSORVENTE SEM ABAS ALWAYS SUPER PROTEÇÃO SECA C/ 8UN,"6,19",,Jefferson Moraes
12,SHOP10,ABSORVENTE COM ABAS ALWAYS SUPER PROTEÇÃO SUAVE C/ 8UN,"6,19",,Jefferson Moraes
13,SHOP11,ABSORVENTE COM ABAS ALWAYS SUPER PROTEÇÃO SUAVE C/ 16UN,"10,99",,Jefferson Moraes
16,SHOP14,ABSORVENTE  INTERNO INTIMUS MÉDIO C/ 8UN,"11,19",,Manuella Oliveira
18,SHOP16,ABSORVENTE INTERNO OB SEMPRE LIVRE PRO COMFORT MÉDIO C/ 16UN,"23,29",,Manuella Oliveira
21,SHOP19,ABSORVENTE SEM ABAS SUAVE SEMPRE LIVRE ADAPT C/ 8UN,"6,59",,Manuella Oliveira
22,SHOP20,ABSORVENTE COM ABAS SUAVE SEMPRE LIVRE ADAPT PLUS C/ 8UN,"7,49",,Manuella Oliveira
24,SHOP22,ABSORVENTE COM ABAS SUAVE ADAPT PLUS SEMPRE LIVRE NOITE E DIA C/ 8UN,"11,99",,Manuella Oliveira
26,SHOP35,ACHOCOLATADO EM CÁPSULA NESCAFÉ DOLCE GUSTO SABOR NESCAU 10 CÁPSULAS,"23,99",,Stephanie Jesus
27,SHOP36,ACHOCOLATADO EM PÓ ORGÂNICO NATIVE SACHÉ 400G,"23,59",,Vitória Maia
28,SHOP38,AÇÚCAR     CRISTAL ORGÂNICO UNIÃO 1KG,"8,59",,Leny Neta
29,SHOP39,AÇÚCAR     CRISTAL UNIÃO 1KG,"4,99",,Leny Neta
32,SHOP42,AÇÚCAR DEMERARA ORGÂNICO NATIVE 1KG,"8,19",,Vitória Maia
33,SHOP43,AÇÚCAR MASCAVO ORGÂNICO VITALIN 300G,"11,99",,Vitória Maia
34,SHOP44,AÇÚCAR REFINADO CARAVELAS 1KG,"4,49",,Leny Neta
35,SHOP45,AÇÚCAR     REFINADO FIT UNIÃO 500G,"5,89",,Leny Neta
36,SHOP46,AÇÚCAR     REFINADO UNIÃO 1KG,"4,39",,Leny Neta
37,SHOP47,"ADOÇANTE EM PÓ LINEA SUCRALOSE 0,5G C/ 50UN","12,19",,Vitória Maia
40,SHOP50,ADOÇANTE EM PÓ ZERO-CAL SUCRALOSE 30G C/ 50UN,"10,99",,Camila Fim
41,SHOP51,ADOÇANTE SACARINA LÍQUIDO ZERO-CAL 100ML,"7,99",,Camila Fim
42,SHOP52,"ÁGUA MINERAL CRYSTAL COM GÁS 1,5L","3,19",,Camila Fim
43,SHOP53,"ÁGUA MINERAL COM GÁS MINALBA 1,5L","3,69",,Camila Fim
44,SHOP54,"ÁGUA MINERAL COM GÁS SÃO LOURENÇO 1,26L","4,99",,Camila Fim
45,SHOP55,ÁGUA MINERAL COM GÁS SÃO LOURENÇO 510ML,"3,49",,Camila Fim
47,SHOP57,ÁGUA MINERAL CRYSTAL COM GÁS 500ML,"2,79",,Camila Fim
50,SHOP60,ÁGUA DE COCO  KERO COCO 1L,"9,99",,Camila Fim
50,SHOP60,ÁGUA DE COCO KERO COCO 1L - PROMOCIONAL,"9,99",,Camila Fim
51,SHOP61,ÁGUA DE COCO KERO COCO CAIXA 200ML,"4,09","0,01",Camila Fim
54,SHOP64,ÁGUA MINERAL SEM GÁS CRYSTAL GARRAFÃO 5L,"11,89",,Camila Fim
55,SHOP65,"ÁGUA MINERAL CRYSTAL SEM GÁS 1,5L","2,59",,Camila Fim
56,SHOP66,ÁGUA MINERAL CRYSTAL SEM GÁS 500ML,"2,29",,Camila Fim
57,SHOP67,ÁGUA MINERAL COM GÁS MINALBA 510ML,"2,29",,Camila Fim
58,SHOP68,ÁGUA MINERAL SEM GÁS MINALBA 510ML,"1,79",,Camila Fim
59,SHOP69,"ÁGUA  MINERAL PRATA SEM GÁS 1,5L","4,39",,Camila Fim
62,SHOP72,"ÁGUA MINERAL SEM GÁS MINALBA 1,5L","2,79",,Camila Fim
63,SHOP73,ÁGUA SANITÁRIA BRILHANTE CLORO ATIVO 2L,"20,49",,Jefferson Moraes
64,SHOP74,ÁGUA SANITÁRIA   SUPER CANDIDA 1L,"3,39",,Jefferson Moraes
65,SHOP75,ÁGUA SANITÁRIA   SUPER CANDIDA 2L,"5,49",,Jefferson Moraes
66,SHOP76,ÁGUA SANITÁRIA YPÊ 2L,"7,49",,Jefferson Moraes
67,SHOP77,ÁGUA TÔNICA ANTARCTICA LATA 350ML,"3,19",,Camila Fim
